time	V(ausgang)*I(I1)	V(n004)*I(V2)
6.794023596177423e-003	1.240993e+001	-8.047522e+000
6.797211882748844e-003	1.240674e+001	-8.044212e+000
6.800581806093997e-003	1.240337e+001	-8.040706e+000
6.804278371039141e-003	1.239968e+001	-8.036847e+000
6.808128606071939e-003	1.239583e+001	-8.032813e+000
6.812112308848151e-003	1.239184e+001	-8.028623e+000
6.816185099886352e-003	1.238777e+001	-8.024322e+000
6.820207007399604e-003	1.238375e+001	-8.020055e+000
6.824168450810131e-003	1.237979e+001	-8.015834e+000
6.827945155649107e-003	1.237601e+001	-8.011792e+000
6.831496742198406e-003	1.237246e+001	-8.007973e+000
6.836929835566163e-003	1.236702e+001	-8.002099e+000
6.842620478029859e-003	1.236133e+001	-7.995904e+000
6.843317901036095e-003	1.236064e+001	-7.995141e+000
6.843852602291922e-003	1.236010e+001	-7.994556e+000
6.844265044790632e-003	1.235969e+001	-7.994104e+000
6.844608056950530e-003	1.235935e+001	-7.993728e+000
6.845280728164482e-003	1.235867e+001	-7.992992e+000
6.845694926143064e-003	1.235826e+001	-7.992537e+000
6.846282666753578e-003	1.235767e+001	-7.991892e+000
6.846852127174063e-003	1.235710e+001	-7.991267e+000
6.847397593959803e-003	1.235656e+001	-7.990667e+000
6.847870712937132e-003	1.235608e+001	-7.990146e+000
6.848278495685145e-003	1.235567e+001	-7.989698e+000
6.848633865314091e-003	1.235532e+001	-7.989307e+000
6.848958123239379e-003	1.235500e+001	-7.988948e+000
6.849622250918230e-003	1.235433e+001	-7.988217e+000
6.850044492207275e-003	1.235391e+001	-7.987751e+000
6.850854999595146e-003	1.235310e+001	-7.986856e+000
6.854287720811282e-003	1.234967e+001	-7.983056e+000
6.857720442027418e-003	1.234623e+001	-7.979237e+000
6.861153163243554e-003	1.234280e+001	-7.975400e+000
6.864585884459691e-003	1.233937e+001	-7.971544e+000
6.868018605675826e-003	1.233594e+001	-7.967669e+000
6.871451326891963e-003	1.233250e+001	-7.963776e+000
6.874884048108099e-003	1.232907e+001	-7.959864e+000
6.884861495637162e-003	1.231909e+001	-7.948386e+000
6.894658563705525e-003	1.230929e+001	-7.936964e+000
6.906459891683925e-003	1.229749e+001	-7.922992e+000
6.920216972419735e-003	1.228374e+001	-7.906427e+000
6.930190459487395e-003	1.227376e+001	-7.894217e+000
6.943898574550356e-003	1.226005e+001	-7.877168e+000
6.952143401881994e-003	1.225181e+001	-7.866763e+000
